code_2010,code_2024,old_population_present
W07000049,W07000081,0.82
W07000049,W07000103,0.18
W07000058,W07000083,1.00
S14000001,S14000060,0.77
S14000001,S14000061,0.23
S14000002,S14000061,0.97
S14000002,S14000060,0.03
S14000003,S14000063,0.99
S14000003,S14000070,0.01
S14000003,S14000072,0.00
S14000003,S14000099,0.00
E14000530,E14001063,1.00
E14000531,E14001064,1.00
E14000532,E14001065,1.00
W07000043,W07000082,1.00
E14000533,E14001066,1.00
S14000004,S14000065,0.62
S14000004,S14000066,0.38
W07000057,W07000096,0.56
W07000057,W07000083,0.44
S14000005,S14000067,1.00
E14000534,E14001067,0.67
E14000534,E14001366,0.17
E14000534,E14001599,0.11
E14000534,E14001294,0.05
E14000535,E14001068,0.86
E14000535,E14001140,0.14
E14000536,E14001069,0.68
E14000536,E14001570,0.32
E14000537,E14001070,0.78
E14000537,E14001352,0.22
E14000538,E14001071,0.67
E14000538,E14001360,0.32
E14000538,E14001600,0.01
S14000006,S14000006,1.00
E14000539,E14001072,0.60
E14000539,E14001090,0.40
S14000007,S14000062,0.79
S14000007,S14000091,0.21
E14000540,E14001073,0.92
E14000540,E14001189,0.08
E14000541,E14001074,0.87
E14000541,E14001075,0.13
E14000542,E14001075,0.73
E14000542,E14001074,0.27
E14000543,E14001076,1.00
E14000544,E14001077,1.00
E14000545,E14001078,0.86
E14000545,E14001403,0.07
E14000545,E14001392,0.07
E14000546,E14001079,0.96
E14000546,E14001375,0.04
E14000547,E14001080,1.00
E14000548,E14001506,0.65
E14000548,E14001196,0.35
E14000549,E14001081,0.91
E14000549,E14001434,0.09
E14000550,E14001082,0.92
E14000550,E14001162,0.08
E14000551,E14001083,0.63
E14000551,E14001137,0.37
E14000552,E14001084,0.98
E14000552,E14001384,0.02
E14000552,E14001359,0.00
N06000001,N05000001,0.95
N06000001,N05000013,0.05
N06000002,N05000002,0.93
N06000002,N05000004,0.07
N06000002,N05000014,0.01
N06000003,N05000003,0.91
N06000003,N05000001,0.09
N06000003,N05000004,0.00
N06000004,N05000004,0.95
N06000004,N05000002,0.03
N06000004,N05000003,0.02
N06000004,N05000014,0.00
E14000553,E14001085,0.74
E14000553,E14001421,0.17
E14000553,E14001559,0.09
S14000008,S14000008,1.00
S14000008,S14000074,0.00
E14000554,E14001397,0.95
E14000554,E14001285,0.05
E14000555,E14001086,0.77
E14000555,E14001525,0.23
E14000556,E14001087,0.90
E14000556,E14001127,0.10
E14000557,E14001088,0.79
E14000557,E14001533,0.14
E14000557,E14001330,0.06
E14000557,E14001274,0.01
E14000558,E14001089,0.86
E14000558,E14001414,0.12
E14000558,E14001229,0.02
E14000559,E14001091,1.00
E14000560,E14001092,0.96
E14000560,E14001097,0.03
E14000560,E14001096,0.01
E14000561,E14001093,1.00
E14000561,E14001535,0.00
E14000562,E14001094,0.90
E14000562,E14001096,0.09
E14000562,E14001099,0.01
E14000562,E14001100,0.00
E14000563,E14001095,0.61
E14000563,E14001096,0.25
E14000563,E14001100,0.14
E14000564,E14001096,0.73
E14000564,E14001098,0.18
E14000564,E14001092,0.08
E14000565,E14001097,0.99
E14000565,E14001099,0.01
E14000566,E14001098,0.85
E14000566,E14001093,0.15
E14000566,E14001096,0.00
E14000567,E14001099,0.96
E14000567,E14001094,0.04
E14000567,E14001097,0.00
E14000568,E14001100,0.81
E14000568,E14001095,0.15
E14000568,E14001094,0.04
E14000568,E14001096,0.00
E14000569,E14001101,0.75
E14000569,E14001382,0.25
E14000570,E14001102,0.98
E14000570,E14001450,0.02
E14000571,E14001103,0.57
E14000571,E14001352,0.17
E14000571,E14001459,0.13
E14000571,E14001145,0.12
E14000572,E14001104,0.66
E14000572,E14001105,0.34
E14000573,E14001105,1.00
W07000072,W07000084,1.00
E14000574,E14001106,0.51
E14000574,E14001244,0.28
E14000574,E14001567,0.21
E14000574,E14001285,0.00
E14000575,E14001183,0.53
E14000575,E14001107,0.47
E14000576,E14001108,0.85
E14000576,E14001166,0.15
E14000576,E14001067,0.00
E14000577,E14001109,1.00
E14000577,E14001391,0.00
E14000578,E14001110,1.00
E14000579,E14001111,0.75
E14000579,E14001112,0.13
E14000579,E14001110,0.12
E14000580,E14001112,0.84
E14000580,E14001329,0.16
E14000581,E14001113,1.00
E14000582,E14001114,1.00
E14000582,E14001343,0.00
E14000583,E14001288,0.87
E14000583,E14001364,0.13
E14000584,E14001115,1.00
E14000585,E14001116,0.96
E14000585,E14001363,0.03
E14000585,E14001429,0.01
E14000585,E14001115,0.00
E14000586,E14001117,0.82
E14000586,E14001593,0.18
E14000587,E14001118,0.98
E14000587,E14001119,0.02
E14000588,E14001119,1.00
E14000589,E14001120,1.00
E14000590,E14001121,0.92
E14000590,E14001590,0.08
W07000068,W07000085,1.00
W07000068,W07000099,0.00
E14000591,E14001122,0.70
E14000591,E14001435,0.15
E14000591,E14001123,0.15
E14000592,E14001123,0.77
E14000592,E14001270,0.12
E14000592,E14001122,0.11
E14000593,E14001124,0.74
E14000593,E14001264,0.26
E14000594,E14001125,1.00
E14000594,E14001267,0.00
W07000073,W07000086,0.83
W07000073,W07000081,0.17
E14000595,E14001126,0.65
E14000595,E14001548,0.30
E14000595,E14001572,0.05
E14000596,E14001250,0.36
E14000596,E14001199,0.26
E14000596,E14001128,0.21
E14000596,E14001462,0.17
E14000597,E14001129,1.00
E14000598,E14001130,0.98
E14000598,E14001129,0.02
E14000599,E14001132,0.60
E14000599,E14001133,0.40
E14000600,E14001134,0.88
E14000600,E14001133,0.12
E14000601,E14001135,0.88
E14000601,E14001132,0.12
E14000602,E14001131,0.67
E14000602,E14001132,0.24
E14000602,E14001134,0.09
E14000603,E14001136,0.93
E14000603,E14001408,0.05
E14000603,E14001396,0.01
E14000604,E14001137,0.53
E14000604,E14001223,0.28
E14000604,E14001417,0.18
E14000605,E14001138,1.00
E14000606,E14001139,0.95
E14000606,E14001284,0.05
E14000607,E14001140,0.83
E14000607,E14001411,0.17
E14000608,E14001141,0.40
E14000608,E14001360,0.38
E14000608,E14001071,0.23
E14000609,E14001142,1.00
E14000610,E14001143,1.00
E14000611,E14001144,1.00
E14000612,E14001145,0.89
E14000612,E14001144,0.11
E14000613,E14001146,0.78
E14000613,E14001569,0.14
E14000613,E14001156,0.06
E14000613,E14001578,0.02
W07000076,W07000088,0.91
W07000076,W07000084,0.09
S14000009,S14000069,1.00
E14000614,E14001147,0.97
E14000614,E14001262,0.03
E14000615,E14001421,0.66
E14000615,E14001333,0.13
E14000615,E14001559,0.13
E14000615,E14001205,0.07
E14000615,E14001085,0.01
E14000616,E14001148,0.93
E14000616,E14001554,0.04
E14000616,E14001511,0.03
E14000617,E14001149,0.93
E14000617,E14001481,0.07
E14000618,E14001150,1.00
E14000619,E14001151,0.95
E14000619,E14001282,0.05
W07000050,W07000089,0.76
W07000050,W07000091,0.24
W07000051,W07000090,1.00
W07000080,W07000091,0.67
W07000080,W07000089,0.33
W07000080,W07000090,0.00
W07000079,W07000092,1.00
E14000620,E14001152,0.92
E14000620,E14001424,0.08
W07000067,W07000087,0.84
W07000067,W07000098,0.16
W07000066,W07000100,0.59
W07000066,W07000087,0.41
E14000621,E14001153,1.00
E14000621,E14001534,0.00
E14000622,E14001154,1.00
S14000010,S14000010,1.00
E14000623,E14001155,0.97
E14000623,E14001232,0.02
E14000623,E14001552,0.00
E14000624,E14001156,0.82
E14000624,E14001569,0.18
W07000064,W07000093,1.00
E14000625,E14001364,0.67
E14000625,E14001357,0.33
E14000626,E14001157,0.90
E14000626,E14001349,0.10
E14000627,E14001158,1.00
E14000628,E14001159,0.95
E14000628,E14001351,0.05
E14000629,E14001160,0.96
E14000629,E14001310,0.04
E14000630,E14001161,0.94
E14000630,E14001542,0.06
E14000631,E14001162,0.84
E14000631,E14001360,0.16
E14000632,E14001165,1.00
E14000633,E14001166,0.76
E14000633,E14001067,0.24
E14000634,E14001167,0.96
E14000634,E14001334,0.04
E14000635,E14001168,0.49
E14000635,E14001356,0.46
E14000635,E14001498,0.05
E14000635,E14001482,0.00
E14000636,E14001169,0.83
E14000636,E14001293,0.17
E14000636,E14001238,0.00
E14000637,E14001170,0.96
E14000637,E14001491,0.04
E14000638,E14001171,0.99
E14000638,E14001363,0.01
E14000638,E14001115,0.00
E14000639,E14001172,0.98
E14000639,E14001310,0.02
E14000640,E14001163,0.73
E14000640,E14001164,0.25
E14000640,E14001455,0.01
E14000641,E14001173,0.86
E14000641,E14001382,0.13
E14000641,E14001211,0.01
E14000642,E14001174,1.00
E14000643,E14001128,0.65
E14000643,E14001255,0.35
W07000062,W07000102,0.48
W07000062,W07000111,0.39
W07000062,W07000094,0.09
W07000062,W07000096,0.05
W07000059,W07000095,0.70
W07000059,W07000094,0.16
W07000059,W07000083,0.14
S14000011,S14000070,0.88
S14000011,S14000072,0.12
S14000011,S14000063,0.00
E14000644,E14001176,0.92
E14000644,E14001273,0.08
E14000645,E14001177,0.82
E14000645,E14001297,0.18
E14000645,E14001418,0.00
E14000646,E14001178,0.86
E14000646,E14001361,0.14
E14000647,E14001583,0.77
E14000647,E14001076,0.13
E14000647,E14001424,0.10
E14000648,E14001179,0.90
E14000648,E14001571,0.06
E14000648,E14001311,0.04
E14000649,E14001180,0.81
E14000649,E14001182,0.19
E14000650,E14001181,1.00
E14000651,E14001182,0.84
E14000651,E14001180,0.16
E14000652,E14001184,1.00
E14000653,E14001185,0.95
E14000653,E14001164,0.05
E14000654,E14001186,0.80
E14000654,E14001188,0.14
E14000654,E14001187,0.06
E14000655,E14001188,0.61
E14000655,E14001527,0.39
E14000656,E14001187,0.78
E14000656,E14001188,0.14
E14000656,E14001186,0.08
S14000012,S14000072,0.90
S14000012,S14000097,0.10
S14000012,S14000063,0.00
W07000070,W07000099,0.58
W07000070,W07000106,0.42
E14000657,E14001189,0.90
E14000657,E14001301,0.10
E14000658,E14001190,1.00
E14000659,E14001191,0.89
E14000659,E14001465,0.06
E14000659,E14001549,0.05
E14000660,E14001192,0.91
E14000660,E14001490,0.09
W07000042,W07000094,0.75
W07000042,W07000082,0.25
E14000661,E14001251,0.38
E14000661,E14001517,0.33
E14000661,E14001070,0.29
E14000662,E14001193,1.00
E14000663,E14001194,1.00
E14000664,E14001195,0.95
E14000664,E14001362,0.05
E14000665,E14001217,0.66
E14000665,E14001356,0.33
E14000665,E14001168,0.01
E14000666,E14001196,0.57
E14000666,E14001418,0.26
E14000666,E14001506,0.17
E14000667,E14001199,0.64
E14000667,E14001436,0.28
E14000667,E14001198,0.08
E14000668,E14001198,0.97
E14000668,E14001200,0.03
E14000669,E14001200,0.95
E14000669,E14001199,0.05
E14000670,E14001202,1.00
E14000671,E14001204,1.00
E14000672,E14001316,0.45
E14000672,E14001524,0.37
E14000672,E14001204,0.18
E14000673,E14001205,0.86
E14000673,E14001333,0.14
S14000013,S14000073,0.99
S14000013,S14000074,0.01
S14000014,S14000074,0.96
S14000014,S14000073,0.04
S14000014,S14000008,0.00
S14000015,S14000066,0.77
S14000015,S14000075,0.23
S14000015,S14000065,0.00
S14000016,S14000075,0.95
S14000016,S14000065,0.05
S14000017,S14000076,0.88
S14000017,S14000071,0.12
W07000061,W07000096,1.00
E14000674,E14001207,0.89
E14000674,E14001209,0.11
E14000675,E14001208,0.98
E14000675,E14001209,0.02
E14000675,E14001207,0.00
E14000676,E14001209,1.00
E14000677,E14001211,1.00
N06000005,N05000005,0.97
N06000005,N05000012,0.02
N06000005,N05000014,0.01
N06000005,N05000002,0.01
E14000678,E14001232,0.75
E14000678,E14001291,0.25
E14000678,E14001231,0.01
S14000018,S14000097,1.00
S14000018,S14000072,0.00
S14000018,S14000086,0.00
E14000679,E14001213,0.78
E14000679,E14001576,0.22
E14000680,E14001214,0.65
E14000680,E14001234,0.35
S14000019,S14000077,0.91
S14000019,S14000092,0.09
S14000019,S14000104,0.00
S14000019,S14000074,0.00
N06000006,N05000006,0.99
S14000020,S14000096,0.88
S14000020,S14000078,0.12
S14000021,S14000021,1.00
E14000681,E14001215,0.76
E14000681,E14001201,0.24
E14000682,E14001218,1.00
E14000683,E14001127,0.79
E14000683,E14001250,0.21
E14000684,E14001219,0.93
E14000684,E14001330,0.07
E14000685,E14001220,0.57
E14000685,E14001263,0.43
E14000686,E14001164,0.55
E14000686,E14001361,0.41
E14000686,E14001455,0.03
E14000686,E14001185,0.01
E14000686,E14001178,0.00
S14000022,S14000078,0.95
S14000022,S14000080,0.05
S14000023,S14000079,0.91
S14000023,S14000082,0.09
S14000024,S14000080,1.00
S14000024,S14000081,0.00
S14000024,S14000078,0.00
S14000025,S14000081,1.00
S14000026,S14000082,0.93
S14000026,S14000079,0.07
E14000687,E14001221,0.82
E14000687,E14001225,0.16
E14000687,E14001503,0.02
E14000688,E14001222,0.70
E14000688,E14001163,0.22
E14000688,E14001455,0.07
E14000689,E14001582,0.39
E14000689,E14001464,0.22
E14000689,E14001320,0.20
E14000689,E14001560,0.20
E14000690,E14001223,0.86
E14000690,E14001229,0.14
E14000691,E14001225,0.97
E14000691,E14001503,0.03
E14000691,E14001221,0.00
E14000692,E14001503,0.68
E14000692,E14001221,0.29
E14000692,E14001225,0.03
E14000693,E14001226,1.00
E14000694,E14001227,0.86
E14000694,E14001442,0.14
E14000695,E14001228,1.00
E14000696,E14001229,0.85
E14000696,E14001089,0.15
E14000697,E14001230,0.83
E14000697,E14001456,0.17
E14000698,E14001231,0.88
E14000698,E14001232,0.12
S14000028,S14000083,0.73
S14000028,S14000064,0.27
E14000699,E14001233,0.54
E14000699,E14001263,0.46
E14000700,E14001235,0.88
E14000700,E14001570,0.12
E14000701,E14001236,0.92
E14000701,E14001124,0.08
N06000007,N05000007,0.96
N06000007,N05000010,0.04
E14000702,E14001237,0.83
E14000702,E14001133,0.09
E14000702,E14001545,0.07
E14000703,E14001238,1.00
E14000703,E14001169,0.00
E14000703,E14001293,0.00
E14000704,E14001239,0.80
E14000704,E14001069,0.18
E14000704,E14001570,0.02
E14000705,E14001240,1.00
N06000008,N05000008,0.94
N06000008,N05000006,0.03
N06000008,N05000018,0.02
E14000706,E14001242,0.92
E14000706,E14001433,0.08
E14000707,E14001243,0.97
E14000707,E14001343,0.03
E14000708,E14001337,0.80
E14000708,E14001584,0.20
E14000709,E14001244,0.80
E14000709,E14001307,0.20
E14000710,E14001245,1.00
E14000711,E14001246,1.00
S14000029,S14000084,0.45
S14000029,S14000085,0.25
S14000029,S14000088,0.18
S14000029,S14000087,0.09
S14000029,S14000086,0.04
S14000030,S14000084,0.58
S14000030,S14000086,0.40
S14000030,S14000072,0.01
S14000031,S14000085,0.74
S14000031,S14000089,0.26
S14000032,S14000086,0.77
S14000032,S14000085,0.23
S14000032,S14000097,0.00
S14000033,S14000089,0.95
S14000033,S14000106,0.04
S14000033,S14000085,0.01
S14000034,S14000087,0.91
S14000034,S14000088,0.07
S14000034,S14000084,0.02
S14000035,S14000088,0.83
S14000035,S14000101,0.17
S14000035,S14000087,0.00
S14000036,S14000090,0.84
S14000036,S14000100,0.13
S14000036,S14000071,0.03
E14000712,E14001248,0.95
E14000712,E14001542,0.05
S14000037,S14000091,0.70
S14000037,S14000060,0.30
E14000713,E14001252,1.00
W07000046,W07000097,0.91
W07000046,W07000103,0.09
E14000714,E14001253,0.66
E14000714,E14001458,0.34
E14000715,E14001254,1.00
E14000716,E14001255,0.87
E14000716,E14001128,0.13
E14000717,E14001256,1.00
E14000718,E14001257,0.86
E14000718,E14001229,0.14
E14000719,E14001258,0.75
E14000719,E14001249,0.23
E14000719,E14001201,0.02
E14000720,E14001259,0.77
E14000720,E14001553,0.16
E14000720,E14001260,0.08
E14000721,E14001260,0.82
E14000721,E14001259,0.11
E14000721,E14001306,0.07
E14000722,E14001261,0.73
E14000722,E14001574,0.15
E14000722,E14001478,0.12
E14000723,E14001262,1.00
E14000724,E14001250,0.54
E14000724,E14001315,0.26
E14000724,E14001314,0.19
E14000725,E14001584,0.66
E14000725,E14001455,0.34
E14000726,E14001264,0.67
E14000726,E14001160,0.17
E14000726,E14001207,0.15
E14000727,E14001265,0.65
E14000727,E14001435,0.25
E14000727,E14001122,0.10
E14000727,E14001290,0.00
E14000728,E14001266,0.92
E14000728,E14001488,0.08
E14000729,E14001267,1.00
E14000730,E14001269,0.95
E14000730,E14001582,0.04
E14000730,E14001475,0.00
E14000731,E14001270,0.90
E14000731,E14001271,0.10
E14000732,E14001271,0.94
E14000732,E14001454,0.05
E14000732,E14001270,0.00
E14000733,E14001272,1.00
E14000734,E14001273,0.92
E14000734,E14001174,0.08
E14000734,E14001176,0.01
E14000735,E14001274,0.94
E14000735,E14001088,0.06
E14000736,E14001275,1.00
E14000737,E14001276,1.00
E14000737,E14001558,0.00
E14000738,E14001277,1.00
E14000739,E14001278,0.87
E14000739,E14001268,0.08
E14000739,E14001496,0.05
E14000740,E14001383,0.85
E14000740,E14001418,0.15
E14000741,E14001279,0.90
E14000741,E14001169,0.10
E14000742,E14001280,0.92
E14000742,E14001090,0.05
E14000742,E14001197,0.03
E14000743,E14001281,0.99
E14000743,E14001395,0.01
E14000744,E14001283,0.92
E14000744,E14001139,0.08
E14000745,E14001284,0.93
E14000745,E14001568,0.07
E14000746,E14001285,1.00
E14000746,E14001106,0.00
E14000747,E14001286,0.81
E14000747,E14001103,0.19
E14000748,E14001287,1.00
E14000749,E14001289,0.53
E14000749,E14001268,0.47
E14000750,E14001290,0.84
E14000750,E14001265,0.16
E14000751,E14001292,0.95
E14000751,E14001189,0.03
E14000751,E14001448,0.01
E14000752,E14001293,0.55
E14000752,E14001503,0.34
E14000752,E14001265,0.10
E14000752,E14001553,0.00
E14000753,E14001294,0.83
E14000753,E14001212,0.17
E14000754,E14001295,1.00
E14000755,E14001296,1.00
E14000756,E14001297,0.96
E14000756,E14001506,0.04
E14000756,E14001196,0.00
E14000757,E14001298,0.64
E14000757,E14001512,0.36
E14000758,E14001299,1.00
E14000759,E14001300,0.79
E14000759,E14001167,0.16
E14000759,E14001334,0.05
E14000760,E14001301,0.80
E14000760,E14001300,0.19
E14000760,E14001334,0.00
S14000038,S14000093,1.00
S14000039,S14000094,0.67
S14000039,S14000098,0.29
S14000039,S14000069,0.03
E14000761,E14001302,1.00
E14000762,E14001304,0.50
E14000762,E14001303,0.50
E14000763,E14001305,1.00
E14000764,E14001306,1.00
W07000077,W07000105,0.70
W07000077,W07000088,0.25
W07000077,W07000084,0.05
E14000765,E14001307,0.90
E14000765,E14001492,0.10
E14000766,E14001308,1.00
E14000767,E14001309,0.92
E14000767,E14001566,0.06
E14000767,E14001453,0.02
E14000767,E14001526,0.00
E14000768,E14001310,0.99
E14000768,E14001160,0.01
E14000769,E14001311,1.00
S14000040,S14000040,1.00
E14000770,E14001312,0.85
E14000770,E14001586,0.15
E14000771,E14001313,0.97
E14000771,E14001314,0.03
E14000772,E14001314,0.85
E14000772,E14001313,0.15
E14000773,E14001315,0.90
E14000773,E14001314,0.10
E14000774,E14001394,0.46
E14000774,E14001133,0.37
E14000774,E14001237,0.18
E14000774,E14001545,0.00
S14000041,S14000071,0.81
S14000041,S14000090,0.19
S14000041,S14000076,0.00
E14000775,E14001317,0.81
E14000775,E14001341,0.19
E14000775,E14001584,0.00
N06000009,N05000009,0.90
N06000009,N05000004,0.05
N06000009,N05000003,0.03
N06000009,N05000014,0.02
N06000009,N05000015,0.00
S14000042,S14000092,0.58
S14000042,S14000099,0.23
S14000042,S14000104,0.13
S14000042,S14000074,0.05
S14000042,S14000077,0.01
E14000776,E14001318,0.66
E14000776,E14001104,0.29
E14000776,E14001372,0.05
E14000777,E14001323,0.73
E14000777,E14001319,0.27
E14000777,E14001324,0.00
E14000777,E14001325,0.00
E14000778,E14001320,0.87
E14000778,E14001323,0.13
E14000778,E14001582,0.00
E14000779,E14001321,1.00
E14000779,E14001322,0.00
E14000779,E14001319,0.00
E14000780,E14001322,0.50
E14000780,E14001319,0.50
E14000781,E14001325,0.52
